Issue key,Issue id,Summary,Assignee,Assignee Id,Custom field (Requirement Priority),Status
LVV-22,305175,DMS-REQ-0059-V-01: Bad Pixel Map,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Monitoring
LVV-23,305837,DMS-REQ-0060-V-01: Bias Residual Image,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-24,305179,DMS-REQ-0061-V-01: Crosstalk Correction Matrix,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-25,292081,DMS-REQ-0062-V-01: Illumination Correction Frame,Jim Bosch,5c2f5797a217aa69bce53f54,1b,In Verification
LVV-26,292089,DMS-REQ-0063-V-01: Monochromatic Flatfield Data Cube,Jim Bosch,5c2f5797a217aa69bce53f54,1b,In Verification
LVV-27,292096,DMS-REQ-0065-V-01: Provide Image Access Services,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1b,Covered
LVV-28,305180,DMS-REQ-0068-V-01: Raw Science Image Metadata,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1a,In Verification
LVV-29,305183,DMS-REQ-0069-V-01: Processed Visit Images,Jim Bosch,5c2f5797a217aa69bce53f54,1a,In Verification
LVV-30,305838,DMS-REQ-0070-V-01: Generate PSF for Visit Images,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Verified
LVV-31,305843,DMS-REQ-0072-V-01: Processed Visit Image Content,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-32,292099,DMS-REQ-0074-V-01: Difference Exposure Attributes,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-33,305840,DMS-REQ-0075-V-01: Catalog Queries,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1a,Verified
LVV-34,292094,DMS-REQ-0077-V-01: Maintain Archive Publicly Accessible,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,Covered
LVV-35,305844,DMS-REQ-0078-V-01: Catalog Export Formats,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1a,Verified
LVV-36,292101,DMS-REQ-0089-V-01: Solar System Objects Available Within Specified Time,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-37,292110,DMS-REQ-0094-V-01: Keep Historical Alert Archive,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-38,292108,DMS-REQ-0096-V-01: Generate Data Quality Report Within Specified Time,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-39,292106,DMS-REQ-0097-V-01: Level 1 Data Quality Report Definition,Leanne Guy,63764f019960988ef6bcba0e,1a,Monitoring
LVV-40,292104,DMS-REQ-0098-V-01: Generate DMS Performance Report Within Specified Time,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-41,292115,DMS-REQ-0099-V-01: Level 1 Performance Report Definition,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-42,292113,DMS-REQ-0100-V-01: Generate Calibration Report Within Specified Time,Eli Rykoff,62bf9f16de439ce00ee5cc82,1b,Covered
LVV-43,292118,DMS-REQ-0101-V-01: Level 1 Calibration Report Definition,Eli Rykoff,62bf9f16de439ce00ee5cc82,1a,In Verification
LVV-44,292124,DMS-REQ-0102-V-01: Provide Engineering & Facility Database Archive,Colin Slater,557058:3ff657ba-216a-44ca-92c7-9f8273ef4816,1a,Verified
LVV-45,292121,DMS-REQ-0103-V-01: Produce Images for EPO,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-46,292123,DMS-REQ-0106-V-01: Coadded Image Provenance,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-47,292127,DMS-REQ-0119-V-01: DAC resource allocation for Level 3 processing,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-48,292128,DMS-REQ-0120-V-01: Level 3 Data Product Self Consistency,Leanne Guy,63764f019960988ef6bcba0e,2,In Verification
LVV-49,292125,DMS-REQ-0121-V-01: Provenance for Level 3 processing at DACs,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-50,292130,DMS-REQ-0122-V-01: Access to catalogs for external Level 3 processing,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-51,292126,DMS-REQ-0123-V-01: Access to input catalogs for DAC-based Level 3 processing,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-52,292129,DMS-REQ-0124-V-01: Federation with external catalogs,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,2,Covered
LVV-53,292131,DMS-REQ-0125-V-01: Software framework for Level 3 catalog processing,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-54,292136,DMS-REQ-0126-V-01: Access to images for external Level 3 processing,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-55,292132,DMS-REQ-0127-V-01: Access to input images for DAC-based Level 3 processing,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-56,292133,DMS-REQ-0128-V-01: Software framework for Level 3 image processing,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-57,305181,DMS-REQ-0130-V-01: Calibration Data Products,Eli Rykoff,62bf9f16de439ce00ee5cc82,1a,In Verification
LVV-58,292138,DMS-REQ-0131-V-01: Time allowed to process calibs,Eli Rykoff,62bf9f16de439ce00ee5cc82,2,In Verification
LVV-59,305186,DMS-REQ-0132-V-01: Calibration Image Provenance,Eli Rykoff,62bf9f16de439ce00ee5cc82,1a,Verified
LVV-60,292135,DMS-REQ-0155-V-01: Provide Data Access Services,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1a,In Verification
LVV-61,305841,DMS-REQ-0156-V-01: Provide Pipeline Execution Services,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-62,305184,DMS-REQ-0158-V-01: Provide Pipeline Construction Services,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-63,292134,DMS-REQ-0160-V-01: Provide User Interface Services,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1b,In Verification
LVV-64,292139,"DMS-REQ-0161-V-01: Optimization of Cost, Reliability and Availability in Order",Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-65,292137,DMS-REQ-0162-V-01: Pipeline Throughput,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-66,291961,DMS-REQ-0163-V-01: Re-processing Capacity,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-67,291962,DMS-REQ-0164-V-01: Temporary Storage for Communications Links,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-68,292140,"DMS-REQ-0165-V-01: Infrastructure Sizing for ""catching up""",Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-69,291965,DMS-REQ-0166-V-01: Incorporate Fault-Tolerance,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-70,291963,DMS-REQ-0167-V-01: Incorporate Autonomics,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-71,291968,DMS-REQ-0168-V-01: Summit Facility Data Communications,Joshua Hoblitt,5f722c5aa290960075e2febf,1a,Verified
LVV-72,291964,DMS-REQ-0170-V-01: Prefer Computing and Storage Down,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-73,305182,DMS-REQ-0171-V-01: Summit to Base Network,Joshua Hoblitt,5f722c5aa290960075e2febf,1a,Verified
LVV-74,291966,DMS-REQ-0172-V-01: Summit to Base Network Availability,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-75,291967,DMS-REQ-0173-V-01: Summit to Base Network Reliability,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-76,291969,DMS-REQ-0174-V-01: Summit to Base Network Secondary Link,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-77,291970,DMS-REQ-0175-V-01: Summit to Base Network Ownership and Operation,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Verified
LVV-78,291972,DMS-REQ-0176-V-01: Summit Facility Infrastructure,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-79,302109,DMS-REQ-0177-V-01: Base Facility Temporary Storage,Robert Gruendl,712020:2b4e40b6-afae-4363-94aa-07f0407def31,,Descoped
LVV-80,305846,DMS-REQ-0178-V-01: Base Facility Co-Location with Existing Facility,Leanne Guy,63764f019960988ef6bcba0e,1b,Verified
LVV-81,291971,DMS-REQ-0180-V-01: Base to Archive Network,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,In Verification
LVV-82,291973,DMS-REQ-0181-V-01: Base to Archive Network Availability,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,In Verification
LVV-83,291975,DMS-REQ-0182-V-01: Base to Archive Network Reliability,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,In Verification
LVV-84,291976,DMS-REQ-0183-V-01: Base to Archive Network Secondary Link,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-85,291980,DMS-REQ-0185-V-01: Archive Center,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-86,291974,DMS-REQ-0186-V-01: Archive Center Disaster Recovery,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-87,305849,DMS-REQ-0187-V-01: Archive Center Co-Location with Existing Facility,Leanne Guy,63764f019960988ef6bcba0e,1b,Verified
LVV-88,291977,DMS-REQ-0188-V-01: Archive to Data Access Center Network,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-89,291978,DMS-REQ-0189-V-01: Archive to Data Access Center Network Availability,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-90,291979,DMS-REQ-0190-V-01: Archive to Data Access Center Network Reliability,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-91,291986,DMS-REQ-0191-V-01: Archive to Data Access Center Network Secondary Link,Joshua Hoblitt,5f722c5aa290960075e2febf,1b,Covered
LVV-92,291982,DMS-REQ-0193-V-01: Data Access Centers,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-93,291981,DMS-REQ-0194-V-01: Data Access Center Simultaneous Connections,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-94,291983,DMS-REQ-0196-V-01: Data Access Center Geographical Distribution,Kevin Siruno,712020:c1938f6d-4366-437d-93ec-0834d1dda97c,1b,Verified
LVV-95,291988,DMS-REQ-0197-V-01: No Limit on Data Access Centers,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,In Verification
LVV-96,291985,DMS-REQ-0265-V-01: Guider Calibration Data Acquisition,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1a,In Verification
LVV-97,291987,DMS-REQ-0266-V-01: Exposure Catalog,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-98,291984,DMS-REQ-0267-V-01: Source Catalog,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
LVV-99,305848,DMS-REQ-0268-V-01: Forced-Source Catalog,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Verified
LVV-100,291989,DMS-REQ-0269-V-01: DIASource Catalog,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
LVV-101,291994,DMS-REQ-0270-V-01: Faint DIASource Measurements,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Covered
LVV-102,305190,DMS-REQ-0271-V-01: Max nearby galaxies associated with DIASource,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,In Verification
LVV-103,291990,DMS-REQ-0272-V-01: DIAObject Attributes,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-104,291995,DMS-REQ-0273-V-01: SSObject Catalog,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Covered
LVV-105,291996,DMS-REQ-0274-V-01: Alert Content,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-106,291991,DMS-REQ-0275-V-01: Object Catalog,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
LVV-107,291993,DMS-REQ-0276-V-01: Object Characterization,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
LVV-108,302120,DMS-REQ-0277-V-01: Coadd Source Catalog,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Descoped
LVV-109,305853,DMS-REQ-0278-V-01: Coadd Image Method Constraints,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Verified
LVV-110,291992,DMS-REQ-0279-V-01: Deep Detection Coadds,Jim Bosch,5c2f5797a217aa69bce53f54,1b,In Verification
LVV-111,305185,DMS-REQ-0280-V-01: Template Coadds,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,In Verification
LVV-112,292001,DMS-REQ-0281-V-01: Multi-band Coadds,Jim Bosch,5c2f5797a217aa69bce53f54,1b,In Verification
LVV-113,305851,DMS-REQ-0282-V-01: Dark Current Correction Frame Creation,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-114,305187,DMS-REQ-0283-V-01: Fringe Correction Frame,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-115,292003,DMS-REQ-0284-V-01: Level-1 Production Completeness,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-116,291997,DMS-REQ-0285-V-01: Level 1 Source Association,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-117,292000,DMS-REQ-0286-V-01: SSObject Precovery,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Covered
LVV-118,291998,DMS-REQ-0287-V-01: Max look-back time for precovery,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-119,291999,DMS-REQ-0288-V-01: Use of External Orbit Catalogs,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Covered
LVV-120,305188,DMS-REQ-0289-V-01: Calibration Production Processing,Eli Rykoff,62bf9f16de439ce00ee5cc82,1a,Verified
LVV-121,292002,DMS-REQ-0290-V-01: Level 3 Data Import,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-122,292005,DMS-REQ-0291-V-01: Query Repeatability,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,Covered
LVV-123,305856,DMS-REQ-0292-V-01: Uniqueness of IDs Across Data Releases,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1a,Verified
LVV-124,292006,DMS-REQ-0293-V-01: Selection of Datasets,Jim Bosch,5c2f5797a217aa69bce53f54,1a,In Verification
LVV-125,305193,DMS-REQ-0294-V-01: Processing of Datasets,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-126,292004,DMS-REQ-0295-V-01: Transparent Data Access,Leanne Guy,63764f019960988ef6bcba0e,2,In Verification
LVV-127,305854,"DMS-REQ-0296-V-01: Pre-cursor, and Real Data",Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-128,305859,DMS-REQ-0297-V-01: DMS Initialization Component,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-129,305191,DMS-REQ-0298-V-01: Data Product and Raw Data Access - Image Data Products,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-130,305867,DMS-REQ-0299-V-01: Data Product Ingest,Jim Bosch,5c2f5797a217aa69bce53f54,1a,Verified
LVV-131,292007,DMS-REQ-0300-V-01: Bulk Download Service,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-132,292011,DMS-REQ-0301-V-01: Control of Level-1 Production,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-133,305857,DMS-REQ-0302-V-01: Production Orchestration,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-134,305863,DMS-REQ-0303-V-01: Production Monitoring,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-135,305865,DMS-REQ-0304-V-01: Production Fault Tolerance,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-136,305861,DMS-REQ-0305-V-01: Task Specification,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-137,305869,DMS-REQ-0306-V-01: Task Configuration,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-138,292010,DMS-REQ-0307-V-01: Unique Processing Coverage,Jim Bosch,5c2f5797a217aa69bce53f54,2,In Verification
LVV-139,305189,DMS-REQ-0308-V-01: Software Architecture to Enable Community Re-Use,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-140,292008,DMS-REQ-0309-V-01: Raw Data Archiving Reliability,Leanne Guy,63764f019960988ef6bcba0e,1a,In Verification
LVV-141,292009,DMS-REQ-0310-V-01: Un-Archived Data Product Cache,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-142,292013,DMS-REQ-0311-V-01: Regenerate Un-archived Data Products (Software),Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-143,292026,DMS-REQ-0312-V-01: Level 1 Data Product Access,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-144,292012,DMS-REQ-0313-V-01: Level 1 & 2 Catalog Access,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,Covered
LVV-145,305192,DMS-REQ-0314-V-01: Compute Platform Heterogeneity,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-146,302111,DMS-REQ-0315-V-01: DMS Communication with OCS,Leanne Guy,63764f019960988ef6bcba0e,1a,Descoped
LVV-147,305194,DMS-REQ-0316-V-01: Commissioning Cluster,Leanne Guy,63764f019960988ef6bcba0e,1a,Verified
LVV-148,305871,DMS-REQ-0317-V-01: DIAForcedSource Catalog,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Verified
LVV-149,292015,DMS-REQ-0318-V-01: Data Management Unscheduled Downtime,Leanne Guy,63764f019960988ef6bcba0e,1b,Covered
LVV-150,292016,DMS-REQ-0319-V-01: Characterizing Variability,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,In Verification
LVV-151,292019,DMS-REQ-0320-V-01: Processing of Data From Special Programs,Melissa Graham,712020:4bc6880a-9b76-4872-8191-7c22d1fb8ab4,2,Covered
LVV-152,292029,DMS-REQ-0321-V-01: Level 1 Processing of Special Programs Data,Melissa Graham,712020:4bc6880a-9b76-4872-8191-7c22d1fb8ab4,2,Covered
LVV-153,292021,DMS-REQ-0322-V-01: Special Programs Database,Melissa Graham,712020:4bc6880a-9b76-4872-8191-7c22d1fb8ab4,1b,Covered
LVV-154,292023,DMS-REQ-0323-V-01: Calculating SSObject Parameters,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,3,In Verification
LVV-155,292017,DMS-REQ-0324-V-01: Matching DIASources to Objects,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,In Verification
LVV-156,292027,DMS-REQ-0325-V-01: Regenerating L1 Data Products During Data Release Processing,Jim Bosch,5c2f5797a217aa69bce53f54,2,Covered
LVV-157,292031,DMS-REQ-0326-V-01: Storing Approximations of Per-pixel Metadata,Leanne Guy,63764f019960988ef6bcba0e,2,Covered
LVV-158,306392,DMS-REQ-0327-V-01: Background Model Calculation,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Verified
LVV-159,292030,DMS-REQ-0328-V-01: Documenting Image Characterization,Jeffrey Carlin,60a6a73675e875006f46e758,1b,Covered
LVV-160,292024,DMS-REQ-0329-V-01: All-Sky Visualization of Data Releases,Leanne Guy,63764f019960988ef6bcba0e,2,In Verification
LVV-161,306389,DMS-REQ-0330-V-01: Best Seeing Coadds,Jim Bosch,5c2f5797a217aa69bce53f54,2,Verified
LVV-162,292022,DMS-REQ-0331-V-01: Computing Derived Quantities,Melissa Graham,712020:4bc6880a-9b76-4872-8191-7c22d1fb8ab4,1b,Covered
LVV-163,292033,DMS-REQ-0332-V-01: Denormalizing Database Tables,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,In Verification
LVV-164,292042,DMS-REQ-0333-V-01: Maximum Likelihood Values and Covariances,Jim Bosch,5c2f5797a217aa69bce53f54,1b,Covered
LVV-165,306404,DMS-REQ-0334-V-01: Persisting Data Products,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,Verified
LVV-166,306400,DMS-REQ-0335-V-01: PSF-Matched Coadds,Jim Bosch,5c2f5797a217aa69bce53f54,2,Verified
LVV-167,305196,DMS-REQ-0336-V-01: Regenerating Data Products from Previous Data Releases,Leanne Guy,63764f019960988ef6bcba0e,1b,In Verification
LVV-168,292035,DMS-REQ-0337-V-01: Detecting faint variable objects,Melissa Graham,712020:4bc6880a-9b76-4872-8191-7c22d1fb8ab4,2,In Verification
LVV-169,292043,DMS-REQ-0338-V-01: Targeted Coadds,Jim Bosch,5c2f5797a217aa69bce53f54,2,In Verification
LVV-170,292038,DMS-REQ-0339-V-01: Tracking Characterization Changes Between Data Releases,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-171,292045,DMS-REQ-0340-V-01: Access Controls of Level 3 Data Products,Leanne Guy,63764f019960988ef6bcba0e,2,In Verification
LVV-172,292036,DMS-REQ-0341-V-01: Max elapsed time for precovery results,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,In Verification
LVV-173,292051,DMS-REQ-0342-V-01: Alert Filtering Service,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Covered
LVV-174,292040,DMS-REQ-0343-V-01: Number of full-size alerts,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Covered
LVV-175,292047,DMS-REQ-0004-V-01: Time to L1 public release,Melissa Graham,712020:4bc6880a-9b76-4872-8191-7c22d1fb8ab4,1b,Covered
LVV-176,292048,DMS-REQ-0345-V-01: Logging of catalog queries,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,In Verification
LVV-177,305195,DMS-REQ-0346-V-01: Data Availability,Gregory Dubois-Felsmann,557058:5afef4b4-f1bc-4238-977f-9f8d3183e55c,1b,In Verification
LVV-178,306398,DMS-REQ-0347-V-01: Measurements in catalogs,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,Verified
LVV-179,292050,DMS-REQ-0348-V-01: Pre-defined alert filters,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,2,Covered
LVV-180,292063,DMS-REQ-0349-V-01: Detecting extended  low surface brightness objects,Jim Bosch,5c2f5797a217aa69bce53f54,2,In Verification
LVV-181,292055,DMS-REQ-0350-V-01: Associating Objects across data releases,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
LVV-182,306395,DMS-REQ-0351-V-01: Provide Beam Projector Coordinate Calculation Software,Robert Lupton,557058:719f74fd-1fab-4eb3-bbb5-2697dbed33ef,1a,Verified
LVV-183,292053,DMS-REQ-0352-V-01: Base Wireless LAN (WiFi),Leanne Guy,63764f019960988ef6bcba0e,2,Verified
LVV-184,292057,DMS-REQ-0353-V-01: Publishing predicted visit schedule,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,In Verification
LVV-185,305197,DMS-REQ-0354-V-01: Result latency for high-volume complex queries,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,In Verification
LVV-186,292058,DMS-REQ-0355-V-01: Max time to retrieve Prompt Products Database query results,Eric Bellm,557058:49aa4cb9-303e-4a6b-9428-6c8646cbc11d,1b,Covered
LVV-187,292060,DMS-REQ-0356-V-01: Radius for low-volume query,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,Covered
LVV-188,305199,DMS-REQ-0357-V-01: Result latency for high-volume full-sky queries on the Object table,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,1b,In Verification
LVV-189,292070,DMS-REQ-0363-V-01: Access to Previous Data Releases,Leanne Guy,63764f019960988ef6bcba0e,3,Covered
LVV-190,292069,DMS-REQ-0364-V-01: Total number of data releases,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,3,Covered
LVV-191,292065,DMS-REQ-0365-V-01: Operations Subsets,Colin Slater,712020:b072dfd7-3389-46bd-a80d-b7de63d521e7,2,Covered
